"","X","value","date","station","datatype","day","hour"
"102","2016-08-01 22:00:00",89,2016-08-01 18:00:00,"KTPA","Forecast",2016-08-01,18
"103","2016-08-01 23:00:00",88,2016-08-01 19:00:00,"KTPA","Forecast",2016-08-01,19
"104","2016-08-02 00:00:00",85,2016-08-01 20:00:00,"KTPA","Forecast",2016-08-01,20
"105","2016-08-02 01:00:00",83,2016-08-01 21:00:00,"KTPA","Forecast",2016-08-01,21
"106","2016-08-02 02:00:00",83,2016-08-01 22:00:00,"KTPA","Forecast",2016-08-01,22
"107","2016-08-02 03:00:00",82,2016-08-01 23:00:00,"KTPA","Forecast",2016-08-01,23
"108","2016-08-02 04:00:00",81,2016-08-02 00:00:00,"KTPA","Forecast",2016-08-02,0
"109","2016-08-02 05:00:00",81,2016-08-02 01:00:00,"KTPA","Forecast",2016-08-02,1
"110","2016-08-02 06:00:00",80,2016-08-02 02:00:00,"KTPA","Forecast",2016-08-02,2
"111","2016-08-02 07:00:00",79,2016-08-02 03:00:00,"KTPA","Forecast",2016-08-02,3
"112","2016-08-02 08:00:00",78,2016-08-02 04:00:00,"KTPA","Forecast",2016-08-02,4
"113","2016-08-02 09:00:00",78,2016-08-02 05:00:00,"KTPA","Forecast",2016-08-02,5
"114","2016-08-02 10:00:00",78,2016-08-02 06:00:00,"KTPA","Forecast",2016-08-02,6
"115","2016-08-02 11:00:00",77,2016-08-02 07:00:00,"KTPA","Forecast",2016-08-02,7
"116","2016-08-02 12:00:00",79,2016-08-02 08:00:00,"KTPA","Forecast",2016-08-02,8
"117","2016-08-02 13:00:00",82,2016-08-02 09:00:00,"KTPA","Forecast",2016-08-02,9
"118","2016-08-02 14:00:00",85,2016-08-02 10:00:00,"KTPA","Forecast",2016-08-02,10
"119","2016-08-02 15:00:00",87,2016-08-02 11:00:00,"KTPA","Forecast",2016-08-02,11
"120","2016-08-02 16:00:00",89,2016-08-02 12:00:00,"KTPA","Forecast",2016-08-02,12
"121","2016-08-02 17:00:00",91,2016-08-02 13:00:00,"KTPA","Forecast",2016-08-02,13
"122","2016-08-02 18:00:00",92,2016-08-02 14:00:00,"KTPA","Forecast",2016-08-02,14
"123","2016-08-02 19:00:00",92,2016-08-02 15:00:00,"KTPA","Forecast",2016-08-02,15
"124","2016-08-02 20:00:00",91,2016-08-02 16:00:00,"KTPA","Forecast",2016-08-02,16
"125","2016-08-02 21:00:00",90,2016-08-02 17:00:00,"KTPA","Forecast",2016-08-02,17
"126","2016-08-02 22:00:00",89,2016-08-02 18:00:00,"KTPA","Forecast",2016-08-02,18
"127","2016-08-02 23:00:00",87,2016-08-02 19:00:00,"KTPA","Forecast",2016-08-02,19
"128","2016-08-03 00:00:00",85,2016-08-02 20:00:00,"KTPA","Forecast",2016-08-02,20
"129","2016-08-03 01:00:00",83,2016-08-02 21:00:00,"KTPA","Forecast",2016-08-02,21
"130","2016-08-03 02:00:00",82,2016-08-02 22:00:00,"KTPA","Forecast",2016-08-02,22
"131","2016-08-03 03:00:00",81,2016-08-02 23:00:00,"KTPA","Forecast",2016-08-02,23
"132","2016-08-03 04:00:00",81,2016-08-03 00:00:00,"KTPA","Forecast",2016-08-03,0
"133","2016-08-03 05:00:00",81,2016-08-03 01:00:00,"KTPA","Forecast",2016-08-03,1
"134","2016-08-03 06:00:00",80,2016-08-03 02:00:00,"KTPA","Forecast",2016-08-03,2
"135","2016-08-03 07:00:00",80,2016-08-03 03:00:00,"KTPA","Forecast",2016-08-03,3
"136","2016-08-03 08:00:00",79,2016-08-03 04:00:00,"KTPA","Forecast",2016-08-03,4
"137","2016-08-03 09:00:00",79,2016-08-03 05:00:00,"KTPA","Forecast",2016-08-03,5
"138","2016-08-03 10:00:00",79,2016-08-03 06:00:00,"KTPA","Forecast",2016-08-03,6
"139","2016-08-03 11:00:00",78,2016-08-03 07:00:00,"KTPA","Forecast",2016-08-03,7
"140","2016-08-03 12:00:00",80,2016-08-03 08:00:00,"KTPA","Forecast",2016-08-03,8
"141","2016-08-03 13:00:00",83,2016-08-03 09:00:00,"KTPA","Forecast",2016-08-03,9
"142","2016-08-03 14:00:00",85,2016-08-03 10:00:00,"KTPA","Forecast",2016-08-03,10
"143","2016-08-03 15:00:00",87,2016-08-03 11:00:00,"KTPA","Forecast",2016-08-03,11
"144","2016-08-03 16:00:00",89,2016-08-03 12:00:00,"KTPA","Forecast",2016-08-03,12
"145","2016-08-03 17:00:00",90,2016-08-03 13:00:00,"KTPA","Forecast",2016-08-03,13
"146","2016-08-03 18:00:00",90,2016-08-03 14:00:00,"KTPA","Forecast",2016-08-03,14
"147","2016-08-03 19:00:00",90,2016-08-03 15:00:00,"KTPA","Forecast",2016-08-03,15
"148","2016-08-03 20:00:00",89,2016-08-03 16:00:00,"KTPA","Forecast",2016-08-03,16
"149","2016-08-03 21:00:00",88,2016-08-03 17:00:00,"KTPA","Forecast",2016-08-03,17
"150","2016-08-03 22:00:00",87,2016-08-03 18:00:00,"KTPA","Forecast",2016-08-03,18
"151","2016-08-03 23:00:00",86,2016-08-03 19:00:00,"KTPA","Forecast",2016-08-03,19
"152","2016-08-04 00:00:00",83,2016-08-03 20:00:00,"KTPA","Forecast",2016-08-03,20
"153","2016-08-04 01:00:00",81,2016-08-03 21:00:00,"KTPA","Forecast",2016-08-03,21
"154","2016-08-04 02:00:00",80,2016-08-03 22:00:00,"KTPA","Forecast",2016-08-03,22
"155","2016-08-04 03:00:00",80,2016-08-03 23:00:00,"KTPA","Forecast",2016-08-03,23
"156","2016-08-04 04:00:00",80,2016-08-04 00:00:00,"KTPA","Forecast",2016-08-04,0
"157","2016-08-04 05:00:00",80,2016-08-04 01:00:00,"KTPA","Forecast",2016-08-04,1
"158","2016-08-04 06:00:00",79,2016-08-04 02:00:00,"KTPA","Forecast",2016-08-04,2
"159","2016-08-04 07:00:00",79,2016-08-04 03:00:00,"KTPA","Forecast",2016-08-04,3
"160","2016-08-04 08:00:00",79,2016-08-04 04:00:00,"KTPA","Forecast",2016-08-04,4
"161","2016-08-04 09:00:00",78,2016-08-04 05:00:00,"KTPA","Forecast",2016-08-04,5
"162","2016-08-04 10:00:00",78,2016-08-04 06:00:00,"KTPA","Forecast",2016-08-04,6
"163","2016-08-04 11:00:00",78,2016-08-04 07:00:00,"KTPA","Forecast",2016-08-04,7
"164","2016-08-04 12:00:00",80,2016-08-04 08:00:00,"KTPA","Forecast",2016-08-04,8
"165","2016-08-04 13:00:00",82,2016-08-04 09:00:00,"KTPA","Forecast",2016-08-04,9
"166","2016-08-04 14:00:00",84,2016-08-04 10:00:00,"KTPA","Forecast",2016-08-04,10
"167","2016-08-04 15:00:00",86,2016-08-04 11:00:00,"KTPA","Forecast",2016-08-04,11
"168","2016-08-04 16:00:00",87,2016-08-04 12:00:00,"KTPA","Forecast",2016-08-04,12
"169","2016-08-04 17:00:00",88,2016-08-04 13:00:00,"KTPA","Forecast",2016-08-04,13
"170","2016-08-04 18:00:00",88,2016-08-04 14:00:00,"KTPA","Forecast",2016-08-04,14
"171","2016-08-04 19:00:00",88,2016-08-04 15:00:00,"KTPA","Forecast",2016-08-04,15
"172","2016-08-04 20:00:00",87,2016-08-04 16:00:00,"KTPA","Forecast",2016-08-04,16
"173","2016-08-04 21:00:00",86,2016-08-04 17:00:00,"KTPA","Forecast",2016-08-04,17
"174","2016-08-04 22:00:00",86,2016-08-04 18:00:00,"KTPA","Forecast",2016-08-04,18
"175","2016-08-04 23:00:00",85,2016-08-04 19:00:00,"KTPA","Forecast",2016-08-04,19
"176","2016-08-05 00:00:00",83,2016-08-04 20:00:00,"KTPA","Forecast",2016-08-04,20
"177","2016-08-05 01:00:00",81,2016-08-04 21:00:00,"KTPA","Forecast",2016-08-04,21
"178","2016-08-05 02:00:00",80,2016-08-04 22:00:00,"KTPA","Forecast",2016-08-04,22
"179","2016-08-05 03:00:00",80,2016-08-04 23:00:00,"KTPA","Forecast",2016-08-04,23
"180","2016-08-05 04:00:00",80,2016-08-05 00:00:00,"KTPA","Forecast",2016-08-05,0
"181","2016-08-05 05:00:00",80,2016-08-05 01:00:00,"KTPA","Forecast",2016-08-05,1
"182","2016-08-05 06:00:00",79,2016-08-05 02:00:00,"KTPA","Forecast",2016-08-05,2
"183","2016-08-05 07:00:00",79,2016-08-05 03:00:00,"KTPA","Forecast",2016-08-05,3
"184","2016-08-05 08:00:00",78,2016-08-05 04:00:00,"KTPA","Forecast",2016-08-05,4
